fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
97-24572,Offshore Supply Vessels,1997-09-19,https://www.govinfo.gov/content/pkg/FR-1997-09-19/pdf/97-24572.pdf,https://www.federalregister.gov/documents/1997/09/19/97-24572/offshore-supply-vessels,,www.govinfo.gov,Rule,policy letter
97-25601,"Drawbridge Operation Regulations; Manchester Harbor, MA",1997-09-26,https://www.govinfo.gov/content/pkg/FR-1997-09-26/pdf/97-25601.pdf,https://www.federalregister.gov/documents/1997/09/26/97-25601/drawbridge-operation-regulations-manchester-harbor-ma,,www.govinfo.gov,Rule,policy letter
97-25572,Harmonization With International Safety Standards,1997-09-30,https://www.govinfo.gov/content/pkg/FR-1997-09-30/pdf/97-25572.pdf,https://www.federalregister.gov/documents/1997/09/30/97-25572/harmonization-with-international-safety-standards,,www.govinfo.gov,Rule,policy letter
97-25599,Small Passenger Vessel Inspection and Certification,1997-09-30,https://www.govinfo.gov/content/pkg/FR-1997-09-30/pdf/97-25599.pdf,https://www.federalregister.gov/documents/1997/09/30/97-25599/small-passenger-vessel-inspection-and-certification,,www.govinfo.gov,Rule,policy letter
97-28409,Licensing and Manning for Officers of Towing Vessels,1997-10-27,https://www.govinfo.gov/content/pkg/FR-1997-10-27/pdf/97-28409.pdf,https://www.federalregister.gov/documents/1997/10/27/97-28409/licensing-and-manning-for-officers-of-towing-vessels,,www.govinfo.gov,Proposed Rule,policy letter
97-33477,Alternate Compliance via Recognized Classification Society and U.S. Supplement to Rules,1997-12-24,https://www.govinfo.gov/content/pkg/FR-1997-12-24/pdf/97-33477.pdf,https://www.federalregister.gov/documents/1997/12/24/97-33477/alternate-compliance-via-recognized-classification-society-and-us-supplement-to-rules,,www.govinfo.gov,Rule,policy letter
98-1270,"Special Local Regulation; Laughlin, Nevada",1998-01-21,https://www.govinfo.gov/content/pkg/FR-1998-01-21/pdf/98-1270.pdf,https://www.federalregister.gov/documents/1998/01/21/98-1270/special-local-regulation-laughlin-nevada,,www.govinfo.gov,Rule,policy letter
98-4836,"Drawbridge Operation Regulations; Atlantic Intracoastal Waterway, North Carolina",1998-02-25,https://www.govinfo.gov/content/pkg/FR-1998-02-25/pdf/98-4836.pdf,https://www.federalregister.gov/documents/1998/02/25/98-4836/drawbridge-operation-regulations-atlantic-intracoastal-waterway-north-carolina,,www.govinfo.gov,Rule,policy letter
98-5691,Hull Examination Alternatives for Passenger Vessels,1998-03-05,https://www.govinfo.gov/content/pkg/FR-1998-03-05/pdf/98-5691.pdf,https://www.federalregister.gov/documents/1998/03/05/98-5691/hull-examination-alternatives-for-passenger-vessels,,www.govinfo.gov,Rule,policy letter
98-9090,"Drawbridge Operating Regulation; Back Bay of Biloxi, MS",1998-04-07,https://www.govinfo.gov/content/pkg/FR-1998-04-07/pdf/98-9090.pdf,https://www.federalregister.gov/documents/1998/04/07/98-9090/drawbridge-operating-regulation-back-bay-of-biloxi-ms,,www.govinfo.gov,Rule,policy letter
98-9922,Amendment of State Waters for Private Aids to Navigation in Wisconsin and Alabama,1998-04-15,https://www.govinfo.gov/content/pkg/FR-1998-04-15/pdf/98-9922.pdf,https://www.federalregister.gov/documents/1998/04/15/98-9922/amendment-of-state-waters-for-private-aids-to-navigation-in-wisconsin-and-alabama,,www.govinfo.gov,Proposed Rule,policy letter
98-11295,Claims and Effective Dates for the Award of Educational Assistance,1998-04-29,https://www.govinfo.gov/content/pkg/FR-1998-04-29/pdf/98-11295.pdf,https://www.federalregister.gov/documents/1998/04/29/98-11295/claims-and-effective-dates-for-the-award-of-educational-assistance,,www.govinfo.gov,Proposed Rule,policy letter
98-12659,Maritime Course Approval Procedures,1998-05-13,https://www.govinfo.gov/content/pkg/FR-1998-05-13/pdf/98-12659.pdf,https://www.federalregister.gov/documents/1998/05/13/98-12659/maritime-course-approval-procedures,,www.govinfo.gov,Proposed Rule,NMC Policy Letter
98-13401,"Drawbridge Operation Regulations; New Rochelle Harbor, NY",1998-05-20,https://www.govinfo.gov/content/pkg/FR-1998-05-20/pdf/98-13401.pdf,https://www.federalregister.gov/documents/1998/05/20/98-13401/drawbridge-operation-regulations-new-rochelle-harbor-ny,,www.govinfo.gov,Rule,policy letter
98-14163,Prevention Through People,1998-05-28,https://www.govinfo.gov/content/pkg/FR-1998-05-28/pdf/98-14163.pdf,https://www.federalregister.gov/documents/1998/05/28/98-14163/prevention-through-people,,www.govinfo.gov,Notice,NMC Policy Letter
98-15966,"Anchorage Regulation; San Francisco Bay, California",1998-06-16,https://www.govinfo.gov/content/pkg/FR-1998-06-16/pdf/98-15966.pdf,https://www.federalregister.gov/documents/1998/06/16/98-15966/anchorage-regulation-san-francisco-bay-california,,www.govinfo.gov,Rule,policy letter
98-17409,Veterans Education: Suspension and Discontinuance of Payments,1998-07-01,https://www.govinfo.gov/content/pkg/FR-1998-07-01/pdf/98-17409.pdf,https://www.federalregister.gov/documents/1998/07/01/98-17409/veterans-education-suspension-and-discontinuance-of-payments,,www.govinfo.gov,Rule,policy letter
98-20387,"Drawbridge Operating Regulation; Kelso Bayou, LA",1998-07-30,https://www.govinfo.gov/content/pkg/FR-1998-07-30/pdf/98-20387.pdf,https://www.federalregister.gov/documents/1998/07/30/98-20387/drawbridge-operating-regulation-kelso-bayou-la,,www.govinfo.gov,Rule,policy letter
