fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
E7-22355,National Maritime Security Advisory Committee Meeting,2007-11-15,https://www.govinfo.gov/content/pkg/FR-2007-11-15/pdf/E7-22355.pdf,https://www.federalregister.gov/documents/2007/11/15/E7-22355/national-maritime-security-advisory-committee-meeting,,www.govinfo.gov,Notice,NVIC
E8-4188,Towing Safety Advisory Committee; Meetings,2008-03-05,https://www.govinfo.gov/content/pkg/FR-2008-03-05/pdf/E8-4188.pdf,https://www.federalregister.gov/documents/2008/03/05/E8-4188/towing-safety-advisory-committee-meetings,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E8-4196,Merchant Marine Personnel Advisory Committee; Meetings,2008-03-05,https://www.govinfo.gov/content/pkg/FR-2008-03-05/pdf/E8-4196.pdf,https://www.federalregister.gov/documents/2008/03/05/E8-4196/merchant-marine-personnel-advisory-committee-meetings,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E8-7385,"Safety Zone; Colorado River, Parker, AZ",2008-04-08,https://www.govinfo.gov/content/pkg/FR-2008-04-08/pdf/E8-7385.pdf,https://www.federalregister.gov/documents/2008/04/08/E8-7385/safety-zone-colorado-river-parker-az,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E8-7937,"Safety Zone; Colorado River, Parker, AZ",2008-04-15,https://www.govinfo.gov/content/pkg/FR-2008-04-15/pdf/E8-7937.pdf,https://www.federalregister.gov/documents/2008/04/15/E8-7937/safety-zone-colorado-river-parker-az,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
08-1364,"Regulated Navigation Areas, Safety Zones, Security Zones, and Deepwater Port Facilities; Navigable Waters of the Boston Captain of the Port Zone",2008-06-17,https://www.govinfo.gov/content/pkg/FR-2008-06-17/pdf/08-1364.pdf,https://www.federalregister.gov/documents/2008/06/17/08-1364/regulated-navigation-areas-safety-zones-security-zones-and-deepwater-port-facilities-navigable,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E8-12643,"Navigation and Navigable Waters; Technical, Organizational, and Conforming Amendments",2008-06-19,https://www.govinfo.gov/content/pkg/FR-2008-06-19/pdf/E8-12643.pdf,https://www.federalregister.gov/documents/2008/06/19/E8-12643/navigation-and-navigable-waters-technical-organizational-and-conforming-amendments,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E8-14115,Nontank Vessel Response Plan Enforcement,2008-06-23,https://www.govinfo.gov/content/pkg/FR-2008-06-23/pdf/E8-14115.pdf,https://www.federalregister.gov/documents/2008/06/23/E8-14115/nontank-vessel-response-plan-enforcement,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E8-18868,Towing Safety Advisory Committee; Meetings,2008-08-15,https://www.govinfo.gov/content/pkg/FR-2008-08-15/pdf/E8-18868.pdf,https://www.federalregister.gov/documents/2008/08/15/E8-18868/towing-safety-advisory-committee-meetings,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E8-18791,Passenger Weight and Inspected Vessel Stability Requirements,2008-08-20,https://www.govinfo.gov/content/pkg/FR-2008-08-20/pdf/E8-18791.pdf,https://www.federalregister.gov/documents/2008/08/20/E8-18791/passenger-weight-and-inspected-vessel-stability-requirements,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E8-22724,Medical and Physical Evaluation Guidelines for Merchant Mariner Credentials,2008-09-29,https://www.govinfo.gov/content/pkg/FR-2008-09-29/pdf/E8-22724.pdf,https://www.federalregister.gov/documents/2008/09/29/E8-22724/medical-and-physical-evaluation-guidelines-for-merchant-mariner-credentials,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E8-22723,Review and Update of Standards for Marine Equipment,2008-10-31,https://www.govinfo.gov/content/pkg/FR-2008-10-31/pdf/E8-22723.pdf,https://www.federalregister.gov/documents/2008/10/31/E8-22723/review-and-update-of-standards-for-marine-equipment,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E8-28474,"Application for the Integrated Tug and Barge MOKU PAHU, Review for Inclusion in the Shipboard Technology Evaluation Program; Final Environmental Assessment and Finding of No Significant Impact",2008-12-01,https://www.govinfo.gov/content/pkg/FR-2008-12-01/pdf/E8-28474.pdf,https://www.federalregister.gov/documents/2008/12/01/E8-28474/application-for-the-integrated-tug-and-barge-moku-pahu-review-for-inclusion-in-the-shipboard,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E8-29698,"Vessel Requirements for Notices of Arrival and Departure, and Automatic Identification System",2008-12-16,https://www.govinfo.gov/content/pkg/FR-2008-12-16/pdf/E8-29698.pdf,https://www.federalregister.gov/documents/2008/12/16/E8-29698/vessel-requirements-for-notices-of-arrival-and-departure-and-automatic-identification-system,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E8-30604,Salvage and Marine Firefighting Requirements; Vessel Response Plans for Oil,2008-12-31,https://www.govinfo.gov/content/pkg/FR-2008-12-31/pdf/E8-30604.pdf,https://www.federalregister.gov/documents/2008/12/31/E8-30604/salvage-and-marine-firefighting-requirements-vessel-response-plans-for-oil,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E9-802,Pollution Prevention Equipment,2009-01-16,https://www.govinfo.gov/content/pkg/FR-2009-01-16/pdf/E9-802.pdf,https://www.federalregister.gov/documents/2009/01/16/E9-802/pollution-prevention-equipment,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E9-3299,National Offshore Safety Advisory Committee,2009-02-13,https://www.govinfo.gov/content/pkg/FR-2009-02-13/pdf/E9-3299.pdf,https://www.federalregister.gov/documents/2009/02/13/E9-3299/national-offshore-safety-advisory-committee,,www.govinfo.gov,Notice,NVIC
E9-5436,Consolidation of Merchant Mariner Qualification Credentials,2009-03-16,https://www.govinfo.gov/content/pkg/FR-2009-03-16/pdf/E9-5436.pdf,https://www.federalregister.gov/documents/2009/03/16/E9-5436/consolidation-of-merchant-mariner-qualification-credentials,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E9-6852,Transportation Worker Identification Credential (TWIC)-Reader Requirements,2009-03-27,https://www.govinfo.gov/content/pkg/FR-2009-03-27/pdf/E9-6852.pdf,https://www.federalregister.gov/documents/2009/03/27/E9-6852/transportation-worker-identification-credential-twic-reader-requirements,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
